Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
,Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,780,Yakov Trenin\treniya01,23,NSH,C,13,118,118,50.0,-1.2,81,78,50.9,-0.7,15.1,89.4,104.5,44.6,55.4,10:33,10:31,7,1,0.9,31,54.8
,781,Vincent Trocheck\trochvi01,26,FLA,C,39,493,413,54.4,6.1,357,294,54.8,6.2,13.3,86.4,99.8,60.2,39.8,17:19,14:47,39,52,4.9,169,59.8
,782,Zach Trotman\trotmza01,29,PIT,D,5,57,50,53.3,-0.3,43,34,55.8,1.3,8.6,93.1,101.7,53.3,46.7,15:36,14:14,0,3,-0.7,18,33.3
,783,Jacob Trouba\troubja01,25,NYR,D,46,649,835,43.7,-2.3,489,633,43.6,-3.2,10.6,89.5,100.1,40.6,59.4,23:10,18:10,30,53,-5.5,234,50.0
,784,Alex Tuch\tuchal01,23,VEG,RW,33,332,304,52.2,-2.9,237,230,50.7,-5.0,8.0,86.9,94.9,59.7,40.3,14:22,12:44,23,24,0.4,123,56.1
,785,Kyle Turris\turriky01,30,NSH,C,39,392,387,50.3,-1.7,287,288,49.9,-2.4,11.5,85.6,97.1,58.9,41.1,14:12,11:48,14,20,-1.3,101,54.5
,786,Carsen Twarynski\twaryca01,22,PHI,F,15,94,118,44.3,-8.5,68,79,46.3,-6.2,2.0,92.7,94.7,48.6,51.4,10:41,10:23,6,0,-1.5,18,77.8
,787,T.J. Tynan\tynant.01,27,COL,C,14,74,83,47.1,-1.0,54,52,50.9,3.2,4.4,91.2,95.6,54.3,45.7,8:44,8:05,4,0,-0.9,12,58.3
,788,Urho Vaakanainen\vaakaur01,21,BOS,D,5,39,67,36.8,-11.6,28,53,34.6,-16.9,16.7,97.0,113.6,54.8,45.2,16:51,15:16,1,3,0.0,9,22.2
,789,James van Riemsdyk\vanrija01,30,PHI,LW,48,434,429,50.3,-1.6,312,309,50.2,-0.7,10.9,89.6,100.5,54.8,45.2,15:11,12:22,12,10,-1.6,181,63.5
,790,Trevor van Riemsdyk\vanritr01,28,CAR,D,29,305,255,54.5,-0.1,215,196,52.3,-1.9,4.8,88.5,93.3,49.3,50.7,13:31,12:48,11,10,-2.4,71,49.3
,791,Sami Vatanen\vatansa01,28,NJD,D,43,518,541,48.9,1.8,375,401,48.3,0.3,10.3,86.4,96.7,49.3,50.7,21:42,16:16,13,21,-4.5,185,47.6
,792,Frank Vatrano\vatrafr01,25,FLA,LW,46,444,436,50.5,0.6,319,319,50.0,-0.5,8.9,88.7,97.5,61.0,39.0,15:02,12:08,20,13,-0.7,147,70.7
,793,Lukas Vejdemo\vejdelu01,24,MTL,C,4,25,17,59.5,10.0,19,12,61.3,14.3,0.0,87.5,87.5,37.5,62.5,7:30,7:24,2,0,0.5,3,66.7
,794,Carter Verhaeghe\verhaca01,24,TBL,C,35,270,227,54.3,0.7,201,177,53.2,0.3,10.5,86.4,97.0,53.3,46.7,9:27,8:58,10,8,-0.7,73,58.9
,795,Max Veronneau\veronma01,24,OTT,RW,4,23,16,59.0,9.1,18,13,58.1,7.9,0.0,81.8,81.8,50.0,50.0,8:25,7:44,0,1,-0.5,6,50.0
,796,Jimmy Vesey\veseyji02,26,BUF,LW,44,377,399,48.6,-1.7,290,308,48.5,-1.4,12.0,93.0,105.0,52.2,47.8,13:37,11:50,19,12,-0.8,111,58.6
,797,Jake Virtanen\virtaja01,23,VAN,RW,48,434,467,48.2,-1.0,340,336,50.3,0.9,8.4,90.9,99.3,54.9,45.1,12:36,11:43,26,14,-1.7,150,64.0
,798,Marc-Edouard Vlasic\vlasima01,32,SJS,D,49,619,626,49.7,0.1,452,446,50.3,2.1,11.1,85.8,96.9,49.3,50.7,20:18,16:26,15,25,-4.6,139,34.5
,799,Alexander Volkov\volkoal01,22,TBL,RW,8,55,53,50.9,-2.9,36,44,45.0,-9.7,3.8,81.3,85.1,54.9,45.1,10:12,10:12,1,2,-0.8,11,54.5
,800,Jakub Voracek\voracja01,30,PHI,RW,48,524,455,53.5,2.5,379,346,52.3,1.8,11.5,91.2,102.7,54.4,45.6,16:48,13:44,15,23,1.6,167,49.1
